,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,
274,0.333,0.333,0.333,0,0,0,7.80%,2.13%,1.509222791,15.80%,55.00%,65.00%
275,0.333,0.333,0,0.333,0,0,6.43%,1.61%,1.347686367,13.80%,60.00%,50.00%
276,0.333,0,0.333,0.333,0,0,6.83%,2.02%,1.674320028,17.71%,55.00%,40.00%
277,0,0.333,0.333,0.333,0,0,8.05%,2.00%,1.331837873,13.57%,55.00%,65.00%
278,0.333,0.333,0,0,0.333,0,4.53%,1.09%,1.256505421,12.43%,60.00%,70.00%
279,0.333,0,0.333,0,0.333,0,6.73%,1.97%,1.614018023,17.39%,55.00%,60.00%
280,0,0.333,0.333,0,0.333,0,5.02%,1.18%,1.210946554,11.96%,55.00%,65.00%
281,0.333,0,0,0.333,0.333,0,5.02%,1.26%,1.340314875,13.66%,60.00%,55.00%
282,0,0.333,0,0.333,0.333,0,4.26%,1.07%,1.159335809,12.22%,65.00%,60.00%
283,0,0,0.333,0.333,0.333,0,7.89%,1.98%,1.374120287,14.05%,60.00%,65.00%
284,0.333,0.333,0,0,0,0.333,1.69%,0.32%,0.911257538,9.66%,65.00%,45.00%
285,0.333,0,0.333,0,0,0.333,0.02%,0.08%,1.221239365,13.00%,60.00%,50.00%
286,0,0.333,0.333,0,0,0.333,4.58%,1.02%,1.00204896,10.09%,55.00%,55.00%
287,0.333,0,0,0.333,0,0.333,2.08%,0.48%,1.117253227,11.73%,55.00%,55.00%
288,0,0.333,0,0.333,0,0.333,2.22%,0.43%,0.948520312,9.71%,55.00%,40.00%
289,0,0,0.333,0.333,0,0.333,4.62%,1.12%,1.204041067,12.43%,55.00%,45.00%
290,0.333,0,0,0,0.333,0.333,1.77%,0.31%,0.924853412,9.36%,60.00%,50.00%
291,0,0.333,0,0,0.333,0.333,2.40%,0.43%,0.857932817,8.48%,65.00%,45.00%
292,0,0,0.333,0,0.333,0.333,1.72%,0.27%,0.90535242,8.98%,55.00%,50.00%
293,0,0,0,0.333,0.333,0.333,1.00%,0.11%,0.88915352,9.09%,60.00%,45.00%
294,0.25,0.25,0.25,0.25,0,0,9.61%,2.47%,1.481031267,15.36%,55.00%,50.00%
295,0.25,0.25,0.25,0,0.25,0,5.80%,1.46%,1.347108913,13.66%,55.00%,70.00%
296,0.25,0.25,0,0.25,0.25,0,6.42%,1.56%,1.217077907,12.51%,65.00%,65.00%
297,0.25,0,0.25,0.25,0.25,0,6.56%,1.81%,1.579028222,16.25%,55.00%,45.00%
298,0,0.25,0.25,0.25,0.25,0,6.77%,1.67%,1.269450205,13.04%,60.00%,55.00%
299,0.25,0.25,0.25,0,0,0.25,4.29%,1.04%,1.136064633,11.75%,60.00%,60.00%
300,0.25,0.25,0,0.25,0,0.25,3.36%,0.73%,0.996955143,10.25%,55.00%,60.00%
301,0.25,0,0.25,0.25,0,0.25,4.36%,1.16%,1.312257301,13.93%,60.00%,50.00%
302,0,0.25,0.25,0.25,0,0.25,5.13%,1.17%,1.071879778,10.85%,60.00%,60.00%
303,0.25,0.25,0,0,0.25,0.25,2.39%,0.42%,0.852324781,8.39%,55.00%,55.00%
304,0.25,0,0.25,0,0.25,0.25,2.07%,0.45%,1.094061693,11.22%,60.00%,60.00%
305,0,0.25,0.25,0,0.25,0.25,3.74%,0.76%,0.906347414,8.92%,55.00%,65.00%
306,0.25,0,0,0.25,0.25,0.25,3.09%,0.64%,0.979382952,10.05%,55.00%,65.00%
307,0,0.25,0,0.25,0.25,0.25,1.86%,0.34%,0.892118303,9.20%,65.00%,40.00%
308,0,0,0.25,0.25,0.25,0.25,3.67%,0.79%,1.048570622,10.51%,60.00%,55.00%
309,0.2,0.2,0.2,0.2,0.2,0,8.05%,2.00%,1.371974486,13.92%,55.00%,60.00%
310,0.2,0.2,0.2,0.2,0,0.2,5.49%,1.30%,1.181784489,11.92%,55.00%,55.00%
311,0.2,0.2,0.2,0,0.2,0.2,3.47%,0.74%,1.010770576,10.08%,55.00%,65.00%
312,0.2,0.2,0,0.2,0.2,0.2,3.37%,0.68%,0.918444485,9.20%,60.00%,60.00%
313,0.2,0,0.2,0.2,0.2,0.2,4.49%,1.04%,1.162878127,11.82%,55.00%,50.00%
314,0,0.2,0.2,0.2,0.2,0.2,4.05%,0.88%,0.998392017,10.06%,60.00%,65.00%
315,0.167,0.167,0.167,0.167,0.167,0.167,5.75%,1.29%,1.048489346,10.50%,55.00%,75.00%
