Large_B/P,Large_ROE,Large_S/P,Large_Return_Rate_in_the_last_quarter,Large_Market_Value,Small_systematic_Risk,Annual_Return,Excess_Return,Systematic_Risk,Total_Risk,Abs._Win_Rate,Rel._Win_Rate
0.2,0.2,0.2,0.2,0.2,0.0,0.24230000000000002,0.05500000000000001,0.975507153,0.1042,0.8,0.85
0.2,0.2,0.2,0.2,0.0,0.2,0.2676,0.05500000000000001,1.019172581,0.1209,0.75,0.85
0.2,0.2,0.2,0.0,0.2,0.2,0.2764,0.05500000000000001,1.080582883,0.12029999999999999,0.75,0.85
0.2,0.2,0.0,0.2,0.2,0.2,0.195,0.0496,0.908428926,0.098,0.8,0.85
0.2,0.0,0.2,0.2,0.2,0.2,0.242,0.05500000000000001,1.149729879,0.1273,0.75,0.75
0.0,0.2,0.2,0.2,0.2,0.2,0.20010000000000003,0.0513,0.997655949,0.1054,0.7,0.9
0.167,0.167,0.167,0.167,0.167,0.167,0.2669,0.05500000000000001,0.998147585,0.11199999999999999,0.8,0.85
1.0,0.0,0.0,0.0,0.0,0.0,0.0195,0.0134,1.5103253309999998,0.16405000000000003,0.6,0.4
0.0,1.0,0.0,0.0,0.0,0.0,0.023799999999999998,0.0064,1.26328667,0.12869999999999998,0.55,0.65
0.0,0.0,1.0,0.0,0.0,0.0,0.0803,0.0265,1.5103253309999998,0.16405000000000003,0.55,0.5
0.0,0.0,0.0,1.0,0.0,0.0,-0.0067,0.0007000000000000001,1.425453672,0.1555,0.55,0.35
0.0,0.0,0.0,0.0,1.0,0.0,0.022000000000000002,0.0044,1.094578724,0.1067,0.65,0.7
0.0,0.0,0.0,0.0,0.0,1.0,-0.053399999999999996,-0.0149,0.859994814,0.0889,0.4,0.3
0.5,0.5,0.0,0.0,0.0,0.0,0.061900000000000004,0.0163,1.392192441,0.1441,0.55,0.65
0.5,0.0,0.5,0.0,0.0,0.0,0.0617,0.023399999999999997,1.5103253309999998,0.16405000000000003,0.6,0.5
0.0,0.5,0.5,0.0,0.0,0.0,0.0782,0.0197,1.354461574,0.1377,0.55,0.7
0.5,0.0,0.0,0.5,0.0,0.0,0.06849999999999999,0.019,1.5103253309999998,0.1628,0.55,0.4
0.0,0.5,0.0,0.5,0.0,0.0,0.0473,0.0123,1.247375502,0.1318,0.65,0.65
0.0,0.0,0.5,0.5,0.0,0.0,0.0984,0.0264,1.5103253309999998,0.16405000000000003,0.6,0.55
0.5,0.0,0.0,0.0,0.5,0.0,0.0256,0.0074,1.420759482,0.146,0.55,0.5
0.0,0.5,0.0,0.0,0.5,0.0,0.046,0.010700000000000001,1.091537185,0.1099,0.65,0.75
0.0,0.0,0.5,0.0,0.5,0.0,0.0417,0.011000000000000001,1.419546406,0.1424,0.55,0.5
0.0,0.0,0.0,0.5,0.5,0.0,0.035699999999999996,0.0095,1.203244498,0.1294,0.65,0.6
0.5,0.0,0.0,0.0,0.0,0.5,-0.023399999999999997,-0.0062,0.977324784,0.1069,0.65,0.45
0.0,0.5,0.0,0.0,0.0,0.5,0.0062,0.0002,0.86412172,0.0873,0.6,0.5
0.0,0.0,0.5,0.0,0.0,0.5,0.015300000000000001,0.0033,1.066938445,0.109,0.55,0.6
0.0,0.0,0.0,0.5,0.0,0.5,0.0011,-0.0006,1.007703752,0.10339999999999999,0.55,0.5
0.0,0.0,0.0,0.0,0.5,0.5,0.01,0.0007000000000000001,0.800792483,0.0788,0.55,0.45
0.333,0.333,0.333,0.0,0.0,0.0,0.078,0.0213,1.509222791,0.158,0.55,0.65
0.333,0.333,0.0,0.333,0.0,0.0,0.0643,0.0161,1.347686367,0.138,0.6,0.5
0.333,0.0,0.333,0.333,0.0,0.0,0.0683,0.0202,1.5103253309999998,0.16405000000000003,0.55,0.4
0.0,0.333,0.333,0.333,0.0,0.0,0.0805,0.02,1.331837873,0.13570000000000002,0.55,0.65
0.333,0.333,0.0,0.0,0.333,0.0,0.0453,0.0109,1.256505421,0.1243,0.6,0.7
0.333,0.0,0.333,0.0,0.333,0.0,0.0673,0.0197,1.5103253309999998,0.16405000000000003,0.55,0.6
0.0,0.333,0.333,0.0,0.333,0.0,0.050199999999999995,0.0118,1.210946554,0.11960000000000001,0.55,0.65
0.333,0.0,0.0,0.333,0.333,0.0,0.050199999999999995,0.0126,1.340314875,0.1366,0.6,0.55
0.0,0.333,0.0,0.333,0.333,0.0,0.0426,0.010700000000000001,1.159335809,0.1222,0.65,0.6
0.0,0.0,0.333,0.333,0.333,0.0,0.0789,0.019799999999999998,1.374120287,0.1405,0.6,0.65
0.333,0.333,0.0,0.0,0.0,0.333,0.0169,0.0032,0.911257538,0.0966,0.65,0.45
0.333,0.0,0.333,0.0,0.0,0.333,0.0002,0.0008,1.221239365,0.13,0.6,0.5
0.0,0.333,0.333,0.0,0.0,0.333,0.0458,0.0102,1.00204896,0.1009,0.55,0.55
0.333,0.0,0.0,0.333,0.0,0.333,0.0208,0.0048,1.117253227,0.1173,0.55,0.55
0.0,0.333,0.0,0.333,0.0,0.333,0.0222,0.0043,0.948520312,0.0971,0.55,0.4
0.0,0.0,0.333,0.333,0.0,0.333,0.0462,0.011200000000000002,1.204041067,0.1243,0.55,0.45
0.333,0.0,0.0,0.0,0.333,0.333,0.0177,0.0031,0.924853412,0.09359999999999999,0.6,0.5
0.0,0.333,0.0,0.0,0.333,0.333,0.024,0.0043,0.857932817,0.0848,0.65,0.45
0.0,0.0,0.333,0.0,0.333,0.333,0.0172,0.0027,0.90535242,0.0898,0.55,0.5
0.0,0.0,0.0,0.333,0.333,0.333,0.01,0.0011,0.88915352,0.0909,0.6,0.45
0.25,0.25,0.25,0.25,0.0,0.0,0.09609999999999999,0.024700000000000003,1.481031267,0.1536,0.55,0.5
0.25,0.25,0.25,0.0,0.25,0.0,0.057999999999999996,0.0146,1.347108913,0.1366,0.55,0.7
0.25,0.25,0.0,0.25,0.25,0.0,0.0642,0.015600000000000001,1.217077907,0.1251,0.65,0.65
0.25,0.0,0.25,0.25,0.25,0.0,0.06559999999999999,0.0181,1.5103253309999998,0.1625,0.55,0.45
0.0,0.25,0.25,0.25,0.25,0.0,0.0677,0.0167,1.269450205,0.1304,0.6,0.55
0.25,0.25,0.25,0.0,0.0,0.25,0.0429,0.0104,1.136064633,0.1175,0.6,0.6
0.25,0.25,0.0,0.25,0.0,0.25,0.0336,0.0073,0.996955143,0.1025,0.55,0.6
0.25,0.0,0.25,0.25,0.0,0.25,0.0436,0.0116,1.312257301,0.1393,0.6,0.5
0.0,0.25,0.25,0.25,0.0,0.25,0.0513,0.011699999999999999,1.071879778,0.1085,0.6,0.6
0.25,0.25,0.0,0.0,0.25,0.25,0.0239,0.0042,0.852324781,0.0839,0.55,0.55
0.25,0.0,0.25,0.0,0.25,0.25,0.0207,0.0045000000000000005,1.094061693,0.11220000000000001,0.6,0.6
0.0,0.25,0.25,0.0,0.25,0.25,0.0374,0.0076,0.906347414,0.0892,0.55,0.65
0.25,0.0,0.0,0.25,0.25,0.25,0.030899999999999997,0.0064,0.979382952,0.1005,0.55,0.65
0.0,0.25,0.0,0.25,0.25,0.25,0.018600000000000002,0.0034000000000000002,0.892118303,0.092,0.65,0.4
0.0,0.0,0.25,0.25,0.25,0.25,0.036699999999999997,0.0079,1.048570622,0.1051,0.6,0.55
0.2,0.2,0.2,0.2,0.2,0.0,0.0805,0.02,1.371974486,0.1392,0.55,0.6
0.2,0.2,0.2,0.2,0.0,0.2,0.054900000000000004,0.013000000000000001,1.181784489,0.1192,0.55,0.55
0.2,0.2,0.2,0.0,0.2,0.2,0.0347,0.0074,1.010770576,0.1008,0.55,0.65
0.2,0.2,0.0,0.2,0.2,0.2,0.0337,0.0068000000000000005,0.918444485,0.092,0.6,0.6
0.2,0.0,0.2,0.2,0.2,0.2,0.0449,0.0104,1.162878127,0.1182,0.55,0.5
0.0,0.2,0.2,0.2,0.2,0.2,0.0405,0.0088,0.998392017,0.10060000000000001,0.6,0.65
0.167,0.167,0.167,0.167,0.167,0.167,0.0575,0.0129,1.048489346,0.105,0.55,0.75
